signals,win_rate,avg_win_pct,avg_loss_pct,ev_pct,vol_mult,body_ratio
9,100.0,8.79,0.0,8.79,2.0,0.3
10,100.0,8.09,0.0,8.09,2.0,0.4
10,100.0,8.01,0.0,8.01,1.9,0.3
10,100.0,8.01,0.0,8.01,1.8,0.3
11,100.0,7.46,0.0,7.46,1.9,0.4
11,100.0,7.46,0.0,7.46,1.8,0.4
14,100.0,7.43,0.0,7.43,2.0,0.6
14,100.0,7.43,0.0,7.43,2.0,0.5
11,90.91,8.01,0.2,7.27,1.7,0.3
15,100.0,7.01,0.0,7.01,1.9,0.5
15,100.0,7.01,0.0,7.01,1.9,0.6
16,100.0,6.81,0.0,6.81,1.8,0.5
13,84.62,7.95,0.48,6.65,1.6,0.3
5,100.0,6.49,0.0,6.49,2.0,0.2
17,94.12,6.81,0.11,6.4,1.8,0.6
14,92.86,6.58,0.2,6.1,1.7,0.4
20,95.0,6.19,0.2,5.87,1.7,0.5
24,91.67,6.35,0.48,5.78,1.6,0.5
16,87.5,6.63,0.48,5.74,1.6,0.4
50,88.0,6.49,0.4,5.66,1.2,0.4
22,90.91,6.23,0.16,5.65,1.7,0.6
6,100.0,5.59,0.0,5.59,1.7,0.2
6,100.0,5.59,0.0,5.59,1.9,0.2
6,100.0,5.59,0.0,5.59,1.8,0.2
18,88.89,6.24,0.48,5.5,1.5,0.3
37,86.49,6.43,0.44,5.5,1.3,0.4
27,88.89,6.24,0.36,5.5,1.6,0.6
31,93.55,5.86,0.48,5.45,1.5,0.5
22,90.91,6.03,0.48,5.44,1.5,0.4
68,89.71,6.1,0.38,5.43,1.2,0.5
79,89.87,6.07,0.34,5.42,1.2,0.6
34,91.18,5.81,0.36,5.26,1.5,0.6
37,83.78,6.34,0.4,5.25,1.2,0.3
52,88.46,5.95,0.4,5.22,1.3,0.5
29,82.76,6.39,0.44,5.21,1.3,0.3
59,88.14,5.93,0.36,5.18,1.3,0.6
22,86.36,5.89,0.39,5.03,1.4,0.3
8,87.5,5.83,0.76,5.01,1.6,0.2
37,91.89,5.48,0.39,5.0,1.4,0.5
27,88.89,5.65,0.39,4.97,1.4,0.4
41,90.24,5.46,0.32,4.9,1.4,0.6
18,88.89,5.26,0.48,4.62,1.3,0.2
23,91.3,5.09,0.48,4.61,1.2,0.2
12,91.67,4.46,0.76,4.03,1.5,0.2
15,86.67,4.23,0.48,3.6,1.4,0.2
