signals,win_rate,avg_win_pct,avg_loss_pct,ev_pct,vol_mult,body_ratio
6,100.0,13.62,0.0,13.62,2.0,0.3
9,100.0,12.45,0.0,12.45,2.0,0.5
11,100.0,12.26,0.0,12.26,2.0,0.6
8,100.0,11.76,0.0,11.76,2.0,0.4
14,85.71,12.15,0.57,10.34,1.9,0.6
24,87.5,11.64,0.52,10.12,1.7,0.6
11,81.82,12.45,0.57,10.08,1.9,0.5
8,75.0,13.62,0.57,10.07,1.9,0.3
19,84.21,11.83,0.52,9.88,1.7,0.5
29,86.21,11.39,0.53,9.75,1.6,0.6
24,83.33,11.48,0.53,9.48,1.6,0.5
18,83.33,11.42,0.52,9.43,1.7,0.4
28,85.71,11.02,0.53,9.37,1.5,0.5
10,80.0,11.76,0.57,9.3,1.9,0.4
20,80.0,11.52,0.53,9.11,1.6,0.4
36,86.11,10.64,0.53,9.08,1.5,0.6
20,85.0,10.74,0.52,9.05,1.8,0.6
24,83.33,10.95,0.53,9.04,1.5,0.4
14,78.57,11.01,0.52,8.54,1.7,0.3
33,84.85,10.11,0.6,8.48,1.4,0.5
28,85.71,9.9,0.53,8.41,1.4,0.4
15,80.0,10.61,0.52,8.39,1.8,0.5
20,80.0,10.56,0.53,8.34,1.5,0.3
16,75.0,11.18,0.53,8.25,1.6,0.3
42,85.71,9.7,0.59,8.23,1.4,0.6
11,72.73,11.34,0.52,8.1,1.8,0.3
23,82.61,9.71,0.53,7.93,1.4,0.3
14,78.57,9.95,0.52,7.7,1.8,0.4
3,100.0,7.66,0.0,7.66,2.0,0.2
66,80.3,8.66,0.55,6.84,1.3,0.6
54,77.78,8.65,0.55,6.6,1.3,0.5
48,77.08,8.47,0.53,6.41,1.3,0.4
95,83.16,7.73,0.56,6.34,1.2,0.6
14,78.57,8.11,0.52,6.26,1.5,0.2
75,81.33,7.77,0.54,6.22,1.2,0.5
66,81.82,7.69,0.51,6.2,1.2,0.4
12,75.0,8.38,0.52,6.15,1.6,0.2
39,76.92,8.1,0.47,6.12,1.3,0.3
53,81.13,7.53,0.46,6.02,1.2,0.3
15,80.0,7.57,0.52,5.95,1.4,0.2
11,72.73,7.8,0.52,5.53,1.7,0.2
35,80.0,7.01,0.4,5.52,1.2,0.2
26,76.92,7.17,0.41,5.42,1.3,0.2
5,60.0,7.66,0.57,4.37,1.9,0.2
8,62.5,6.4,0.52,3.8,1.8,0.2
